start,end,chord,confidence
0.000,1.556,Am,0.632
1.556,1.927,A,0.886
1.927,3.390,Am,0.919
3.390,3.762,Em,0.717
3.762,4.110,Dm,0.646
4.110,4.481,A,0.746
4.481,4.853,D,0.702
4.853,5.224,A,0.753
5.224,5.944,F#m,0.816
5.944,6.316,A,0.670
6.316,8.870,Bm,0.847
8.870,9.242,D,0.708
9.242,9.613,Bm,0.765
9.613,11.796,Em,0.806
11.796,12.167,C,0.833
12.167,12.539,Am,0.604
12.539,15.464,A,0.889
15.464,15.836,D,0.777
15.836,16.208,A,0.796
16.208,16.556,F#m,0.923
16.556,17.299,D,0.877
17.299,18.019,F#m,0.828
18.019,18.390,A,0.822
18.390,18.762,B,0.724
18.762,19.482,Bm,0.798
19.482,19.853,D,0.676
19.853,21.316,Bm,0.918
21.316,23.150,Em,0.919
23.150,23.499,E,0.913
23.499,24.242,Em,0.913
24.242,24.961,Am,0.807
24.961,27.191,A,0.820
27.191,29.722,D,0.800
29.722,30.093,C#m,0.570
30.093,30.813,Bm,0.803
30.813,31.184,D,0.651
31.184,31.556,F#m,0.685
31.556,33.019,Bm,0.770
33.019,33.390,E,0.784
33.390,35.225,Em,0.836
35.225,35.968,E,0.864
35.968,38.522,A,0.945
38.522,38.870,E,0.714
38.870,39.242,A,0.860
39.242,39.613,D,0.890
39.613,41.076,Bm,0.894
41.076,41.424,D,0.787
41.424,41.819,A,0.872
41.819,42.191,B,0.811
42.191,42.910,Bm,0.956
42.910,43.979,D,0.931
43.979,44.350,Dm,0.722
44.350,44.722,D,0.716
44.722,45.093,F,0.737
45.093,45.465,C#m,0.612
45.465,45.836,Em,0.686
45.836,46.208,B,0.659
46.208,47.671,Em,0.779
47.671,48.042,E,0.794
48.042,51.316,A,0.832
51.316,52.036,D,0.744
52.036,52.779,A,0.708
52.779,54.242,D,0.767
54.242,55.333,Bm,0.790
55.333,55.705,F#m,0.617
55.705,57.168,Bm,0.764
57.168,59.722,Em,0.828
59.722,60.093,E,0.679
60.093,61.556,Am,0.845
61.556,63.019,A,0.807
63.019,63.739,D,0.798
63.739,64.482,A,0.634
64.482,65.225,D,0.782
65.225,65.945,A,0.683
65.945,67.059,Bm,0.813
67.059,67.408,F#m,0.639
67.408,68.499,Bm,0.766
68.499,68.870,B,0.749
68.870,69.613,E,0.806
69.613,70.333,Em,0.698
70.333,70.705,E,0.788
70.705,71.076,Em,0.761
71.076,71.819,E,0.846
71.819,72.539,A,0.802
72.539,73.282,Am,0.699
73.282,74.745,A,0.818
74.745,75.465,D,0.769
75.465,76.185,A,0.656
76.185,77.671,D,0.765
77.671,78.391,Bm,0.795
78.391,78.762,D,0.633
78.762,79.134,F#m,0.640
79.134,80.596,Bm,0.779
80.596,80.968,A,0.785
80.968,81.316,Am,0.773
81.316,81.688,F,0.599
81.688,82.059,C,0.679
82.059,88.000,Am,0.841
